epoch,prob,tv,nps,mAP50,mAP50-95,fitness
1,-1.3006976124567864,0.9186266255684388,0.0005436509143179044,0.944241725456401,0.6646838715020008,0.6926396568974408
2,-1.3114026586214702,0.32170185141074353,0.00044172924334326614,0.9353888490766784,0.6570657945590346,0.684898100010799
3,-1.2821524448883839,0.3124071153310629,0.0004421274456828355,0.9068973024585535,0.618331495222688,0.6471880759462746
4,-1.2611122314746563,0.3293742384666052,0.00043897096512433235,0.8702236675417508,0.5752480453966882,0.6047456076111944
5,-1.2954843625044212,0.3413988114931645,0.000437172546905155,0.8352553411494664,0.5326977518961792,0.5629535108215079
6,-1.2974287699430416,0.3552587995162377,0.000435668081851103,0.809064246957267,0.5096204663929956,0.5395648444494228
7,-1.2994371194105883,0.36530052240078265,0.00043478536341960233,0.7713255116125927,0.4713791645620451,0.5013737992670999
8,-1.3090417354534833,0.36845354162729704,0.000434688111104501,0.7325788120571061,0.43959957497284075,0.4688974986812673
9,-1.286932075634981,0.37730969144747806,0.0004350919931685218,0.7273288837732024,0.42715364299025993,0.45717116706855415
10,-1.3034641941388447,0.37907482721866703,0.00043510667120034876,0.7047401839127633,0.41015137764498244,0.43961025827176053
