epoch,prob,tv,nps,mAP50,mAP50-95,fitness
1,0.7219418256710737,0.5661482276060642,0.00046970810478505416,0.9195879342638278,0.6289464174594384,0.6580105691398773
2,0.6993057238749969,0.3611739530013158,0.00042283214040649816,0.8624121622203879,0.5709596087006508,0.6001048640526245
3,0.6884640776194059,0.30890668966831303,0.0004151864477301924,0.8426639352317178,0.5569318918207792,0.5855050961618731
4,0.6814443621879969,0.31087790314967817,0.000416108033954142,0.8391308177974892,0.5459838548697338,0.5752985511625093
5,0.6781745293201544,0.3045649329821269,0.0004193582646668148,0.8358078867253609,0.5442640523724858,0.5734184358077733
6,0.6748418899682852,0.2998533019652733,0.00042480073469237256,0.8312608122887846,0.5417075174229232,0.5706628469095094
7,0.6738471832030859,0.3092545767625173,0.0004329039903285985,0.8224092613372599,0.5371586495807873,0.5656837107564345
8,0.6710582513075608,0.2874544782516284,0.00043748436161340814,0.791966058095409,0.5016771568057935,0.5307060469347551
9,0.6695681993777935,0.2814690615886297,0.00044167997802082356,0.795690034632168,0.5058306654067002,0.534816602329247
10,0.6706142074022537,0.2761632372171451,0.00044925121190504,0.8063826271210286,0.5184724494596377,0.5472634672257768
11,0.6708766390115787,0.31300435616419864,0.00046701395499090163,0.8068822074411601,0.5187341939415988,0.547548995291555
12,0.6704909266569675,0.2904834556273925,0.00047668466383280855,0.7840823310937013,0.4919393040256824,0.5211536067324843
13,0.6697792884631034,0.3042953190131065,0.0004946334296479248,0.7368457890392028,0.4600791243169707,0.4877557907891939
14,0.6641452220770029,0.32120625101602995,0.0005181051793699273,0.716700861500984,0.4406233599372616,0.46823111009363383
15,0.6578757059879792,0.3303908209005992,0.0005392548165475138,0.6802847658877899,0.40320128993829496,0.43090963753324446
16,0.6603005818831615,0.3224705159664154,0.0005533514165271742,0.6825331669726703,0.40406100356322583,0.4319082199041703
17,0.658034236003191,0.29931226678383654,0.0005599022216091936,0.6564380471383476,0.3986253517538981,0.4244066212923431
18,0.6544964680304894,0.3184579679599175,0.0005757739522661536,0.6480061583383718,0.384615016999053,0.41095413113298485
19,0.6548361732409551,0.3124454426459777,0.0005855570630862927,0.6497425308316083,0.37646810337756353,0.40379554612296803
20,0.6536106207431891,0.32074020611934173,0.0005989718170335087,0.6331361018536407,0.3725347549538698,0.3985948896438469
21,0.6528451702533624,0.2886170423947848,0.0006016260102534523,0.6015878450444605,0.35133713581262915,0.37636220673581233
22,0.6519349844027789,0.289814803080681,0.0006092514406937438,0.628835518882015,0.35625408118853163,0.38351222495787995
23,0.6516823722765996,0.2994375855494768,0.0006197774588751296,0.6158803888540797,0.3480818509272138,0.3748617047199004
24,0.6507094441316067,0.3041885854342045,0.0006286857697444084,0.6041179828149765,0.3408801626375317,0.36720394465527617
25,0.6472623974849017,0.3046987163714873,0.000634815479712322,0.5981910493279354,0.3360779424610364,0.3622892531477263
26,0.6479518719208546,0.29543205331533384,0.0006377791242602353,0.5912163006914729,0.33274644975409423,0.35859343484783207
27,0.6476085934883509,0.30458350288562286,0.0006462029772452437,0.6103218601392897,0.348521658665678,0.3747016788130392
28,0.6488052637149127,0.31712232339076507,0.0006561609170136926,0.5893589065221367,0.3277825076898104,0.353940147573043
29,0.6485460583980267,0.3101765757951981,0.0006585350403418908,0.5851251649368869,0.3252277039672529,0.35121745006421634
30,0.6481397335345929,0.3018614023159712,0.0006585832825527551,0.591629495161624,0.3233747459285182,0.35020022085182884
31,0.6486044098169376,0.31919664755845684,0.0006628141048937463,0.5832602448290529,0.3238227701840719,0.34976651764857003
32,0.6478875294709817,0.29342912175716496,0.0006598587243411785,0.5797706828608744,0.3209380838213142,0.34682134372527024
33,0.6470896372428308,0.3019906014968187,0.0006634519160844577,0.5812411881168231,0.31725959282776733,0.34365775235667295
34,0.6501029775692866,0.27194965955538625,0.0006598664346174934,0.5779871928314291,0.31919114125086917,0.34507074640892516
35,0.6452199786137311,0.3232628114712544,0.0006724806809917283,0.581690051680311,0.31782955055988177,0.3442156006719247
36,0.6481830248465905,0.3256281194014427,0.0006784034134724584,0.581438306662055,0.3173196098922744,0.3437314795692525
37,0.6458281996922616,0.31001813595111555,0.0006783646068726786,0.5850092662809483,0.32563038051044624,0.3515682690874965
38,0.6482090873595996,0.33359627234630096,0.0006853930311850631,0.5779758799905877,0.3153470285939227,0.34160991373358923
39,0.6436369373248174,0.3105275936615773,0.0006813064220552453,0.5752529507656979,0.31852576161533597,0.34419848053037216
40,0.6454701026280721,0.2815890182287265,0.0006773721140164596,0.5646563931936193,0.30189718392690923,0.32817310485358026
41,0.6495798260737689,0.3039636199290936,0.0006864385989805063,0.5721322940329203,0.30636660925392833,0.3329431777318276
42,0.6477509920413678,0.32909092001425916,0.0006944786963196328,0.5671660222549827,0.31073188777824046,0.3363753012259147
43,0.6479496711339706,0.2940273995582874,0.0006865946865545061,0.5711071191184196,0.30975316927757685,0.33588856426166114
44,0.6476161525799677,0.2972792769089723,0.0006888266652822495,0.5638347125104389,0.30998112681382584,0.3353664853834871
45,0.6450949555788285,0.3053762889825381,0.0006961229702051824,0.571969692908801,0.3115049420216328,0.33755141711034964
46,0.6466296666707748,0.2967491776515276,0.0006962205456474271,0.5714494458074482,0.31018088129760124,0.33630773774858597
47,0.6457966688351754,0.2608842444725526,0.0006894149820511349,0.5631503583565006,0.29943378410905475,0.32580544153379937
48,0.6446538964907328,0.2563805094896219,0.0006860573074589364,0.5657293690878196,0.3079460601536889,0.333724391047102
49,0.6448974074461521,0.27013838520416844,0.000689012307422952,0.5807436934824685,0.3143791294989191,0.34101558589727404
50,0.6422069882735227,0.29871275333257824,0.0007007052936853889,0.5730683998969327,0.3087219883335228,0.3351566294898638
