epoch,prob,tv,nps,mAP50,mAP50-95,fitness
1,-1.9280567474854298,0.16513657283324462,0.0006441621808335185,0.732182826858251,0.45427712703884077,0.4820676970207818
2,-1.9171625008949866,0.20489353361802223,0.0006329027222445569,0.6417870660243719,0.37386501132218936,0.4006572167924076
3,-1.9335079070849297,0.21699908757821107,0.0006226735855213916,0.5816919698189841,0.3053025789528746,0.3329415180394856
4,-2.0361755658418703,0.22340812820654649,0.0006132239448981216,0.5600426634936316,0.25473615635155744,0.28526680706576485
